fold,mae,rmse,field_mae,field_rmse,model
US_001_30W_10min,0.009280373874816,0.009281551362306973,0.024712235945025408,0.08754322134293183,ConvectionBioheat
US_002_30W_10min,54.06584311413664,55.63946659086245,0.07202062525723983,0.10782873176689971,ConvectionBioheat
US_003_30W_10min,26.517877838731717,28.07203537195148,0.034879834491948876,0.07702540972869897,ConvectionBioheat
US_004_30W_10min,25.875701617004612,26.438509281751962,0.03720201285155042,0.07448590899476128,ConvectionBioheat
US_005_30W_10min,25.448664711758415,27.013633160516903,0.06494783560723422,0.13398453193268678,ConvectionBioheat
US_006_30W_10min,59.23419052798055,61.71946192318208,0.06486949206324383,0.1419950643220582,ConvectionBioheat
US_007_30W_10min,64.97844092277748,66.89613076998678,0.06624170141217853,0.1378710530511385,ConvectionBioheat
US_008_30W_10min,59.73126302428424,61.5220833829012,0.07825958174161543,0.14602929488358282,ConvectionBioheat
US_009_30W_10min,65.86023050320972,67.7246586166238,0.057782466134454695,0.11032857985518378,ConvectionBioheat
US_010_25W_5min,56.119079917496876,58.35642818086322,0.04178767125091164,0.09152190575362856,ConvectionBioheat
US_011_30W_5min,52.58373271358395,54.822121796366865,0.035291092997155646,0.08580538865141585,ConvectionBioheat
US_012_35W_5min,62.731496596346965,64.95522583887004,0.04185827737730539,0.08940751715301855,ConvectionBioheat
US_013_40W_5min,54.83826985802712,57.16665157247301,0.05400277504787176,0.10743434746781352,ConvectionBioheat
US_014_45W_5min,67.90500040058565,70.34460751599404,0.045901371017832045,0.10176285732141283,ConvectionBioheat
US_015_50W_5min,71.86013596759248,73.87062569879552,0.0684240308463427,0.1444275004388048,ConvectionBioheat
