fold,mae,rmse,field_mae,field_rmse,model
US_001_30W_10min,0.04272457682436295,0.04427204577508405,0.06067763785353667,0.08945827200200872,SpatialKANBioheat
US_002_30W_10min,54.09656787572206,55.66931246320555,0.04133860774731364,0.08632737036535892,SpatialKANBioheat
US_003_30W_10min,7.569922995896834,8.968026730221492,29.985836561790173,30.02673451170756,SpatialKANBioheat
US_004_30W_10min,15.810434886903474,16.856372528600385,10.028284201180021,10.039416140390255,SpatialKANBioheat
US_005_30W_10min,25.467312834267098,27.030089477464582,0.046404923770038006,0.10743018944338782,SpatialKANBioheat
US_006_30W_10min,59.2357013314803,61.72092433456304,0.1272496263005723,0.1864431838000341,SpatialKANBioheat
US_007_30W_10min,64.97844092277748,66.89613076998678,0.06624170141217853,0.1378710530511385,SpatialKANBioheat
US_008_30W_10min,59.7401045885953,61.530208408006615,0.06830681410858913,0.13764643625733908,SpatialKANBioheat
US_009_30W_10min,65.85961144666098,67.72401710568458,0.09316677618835685,0.14074778304767602,SpatialKANBioheat
US_010_25W_5min,56.12047174977471,58.3574351948304,0.04306528061316657,0.0924197610397787,SpatialKANBioheat
US_011_30W_5min,52.59661917669493,54.8350516330356,0.0480760915116639,0.10474085124193899,SpatialKANBioheat
US_012_35W_5min,61.65319480573723,63.89825712551472,1.0401461446266034,1.0483012749500695,SpatialKANBioheat
US_013_40W_5min,54.856297332125344,57.184776215269856,0.054720717058427924,0.11479150987822082,SpatialKANBioheat
US_014_45W_5min,67.03686855759258,69.51450954665204,0.8228895212413804,0.8311094768496422,SpatialKANBioheat
US_015_50W_5min,71.70685461695373,73.71885460571133,0.1518923839127561,0.18313197094747236,SpatialKANBioheat
