model,MAE,RMSE,NLL,ECE,PICP_95,MPIW_95,params_M,latency_ms,loso_gap,Category,Display Name,MSE ($K^2$),MAE (K),RMSE (K),PICP$_{95}$,MPIW$_{95}$ (K),Within 1°C (%),Within 2°C (%),Within 5°C (%),n_folds,mae_mean,mae_std,mae_sem,mae_ci95,rmse_mean,rmse_std,rmse_sem,rmse_ci95,field_mae_mean,field_mae_std,field_mae_sem,field_mae_ci95,field_rmse_mean,field_rmse_std,field_rmse_sem,field_rmse_ci95
temporal_results,,,,,,,,,,,Bioheat PINN,1.3489292860031128,0.2354807406663894,1.161434150523874,,,97.81618808660905,99.64687296719636,99.83272930025092,,,,,,,,,,,,,,,,,
temporal_results,,,,,,,,,,,CNNLSTM,8.949012756347656,2.252943277359009,2.991490056200698,,,30.36841128433556,55.32201187824796,90.32572383073496,,,,,,,,,,,,,,,,,
temporal_results,,,,,,,,,,,Physics CNNLSTM,617.293701171875,20.27691078186035,24.845395975348733,,,0.8723088344469191,1.6610987379361544,4.352264291017075,,,,,,,,,,,,,,,,,
temporal_results,,,,,,,,,,,Pretrained CNNLSTM,658.7259521484375,21.158586502075195,25.66565705662798,,,0.3340757238307349,1.048626577579807,4.435783221974758,,,,,,,,,,,,,,,,,
uncertainty_results,,,49.33802032470703,,,,,,,,Bayesian CNNLSTM,840.8604125976562,22.128135681152344,28.99759292602539,0.2347809948032665,12.391280174255373,,,,,,,,,,,,,,,,,,,,
uncertainty_results,,,65.76808166503906,,,,,,,,Bayesian Spatial Convection,1105.2391357421875,31.15015983581543,33.24513626098633,0.0465570114301644,15.16031551361084,,,,,,,,,,,,,,,,,,,,
uncertainty_results,,,200.7935943603516,,,,,,,,Bayesian Head,1150.835205078125,28.775054931640625,33.9239616394043,0.0681143281365998,7.377900123596191,,,,,,,,,,,,,,,,,,,,
uncertainty_results,,,56.762657165527344,,,,,,,,Bayesian PINN,1432.2808837890625,32.118831634521484,37.84548568725586,0.1469933184855233,16.671077728271484,,,,,,,,,,,,,,,,,,,,
BayesianCNNLSTM,,,,,,,,,,,,,,,,,,,,15.0,25.683081084215317,8.402614741280551,2.169545797171768,4.252309762456665,30.47616555383501,9.25746913137814,2.3902682515904514,4.684925773117285,,,,,,,,
BayesianResNet,,,,,,,,,,,,,,,,,,,,15.0,55.81729341513972,58.59238189047372,15.128487951761985,29.651836385453485,61.921784874441975,59.569442681346445,15.380763963180804,30.14629736783437,,,,,,,,
CNNLSTM,,,,,,,,,,,,,,,,,,,,15.0,23.70582542740021,7.999255963022557,2.065399008455782,4.048182056573332,27.252884165198463,8.265914066019391,2.134249834591649,4.183129675799632,,,,,,,,
ConvLTC,,,,,,,,,,,,,,,,,,,,15.0,97.14486010183327,37.82852431704442,9.767282979434356,19.143874639691337,98.29845947842688,38.06205776406839,9.827581056174772,19.262058870102557,13.912237456222714,6.146508226021051,1.587021599780428,3.110562335569639,26.28025886347067,12.057239013639126,3.1131657267377784,6.101804824406045
ConvectionBioheat,,,,,,,,,,,,,,,,,,,,15.0,49.85061387249275,20.590167384894816,5.316358358488049,10.420062382636576,51.63672808350011,21.17377770632204,5.467045895525542,10.715409955230063,0.0525454002694606,0.0162776180548712,0.0042028629094961,0.0082376113026123,0.109163420844269,0.0255393374261198,0.0065942285683022,0.0129246879938724
FullBayesianResNet,,,,,,,,,,,,,,,,,,,,15.0,32.08822854595122,26.3997441879402,6.816384638935229,13.36011389231305,36.68119510932205,26.30515221978623,6.791961097778875,13.312243751646596,,,,,,,,
PhysicsCNNLSTM,,,,,,,,,,,,,,,,,,,,15.0,34.68397287029869,14.527010156852766,3.750857893845117,7.351681471936429,40.08386049818547,14.120068114718936,3.64578591037472,7.1457403843344505,,,,,,,,
PretrainedCNNLSTM,,,,,,,,,,,,,,,,,,,,15.0,32.10259845949673,11.670808310304285,3.013389748172507,5.906243906418114,36.88876385073768,11.786279655272816,3.043204321240994,5.9646804696323485,,,,,,,,
SimpleResNet,,,,,,,,,,,,,,,,,,,,15.0,26.66600448252928,10.164711756228048,2.624517290057998,5.144053888513676,30.939792834007694,11.907518300121358,3.074508004735338,6.026035689281263,,,,,,,,
SpatialResNet,,,,,,,,,,,,,,,,,,,,15.0,23.07912689498993,9.984082208777036,2.5778789414506145,5.052642725243205,25.93420365631424,9.383286055327147,2.422754041665489,4.748597921664358,65.17835372314423,16.867821917804385,4.355252891629922,8.536295667594647,66.55550037639262,16.586100639020795,4.282512770229849,8.393725029650504
