Display Name,MSE ($K^2$),MAE (K),RMSE (K),NLL,PICP$_{95}$,MPIW$_{95}$ (K),Within 1°C (%),Within 2°C (%),Within 5°C (%)
Spatial Bioheat,3.570359945297241,1.2418403625488281,1.8895396119947423,,,,48.86162996004089,63.4606449214757,99.76767958368181
Spatial Metabolic,4.035501956939697,1.02721107006073,2.008855882570897,,,,53.396524486571884,87.18520583588885,99.66545860050181
Simple ResNet,635.133544921875,20.535066604614258,25.201855981690613,,,,1.271343726800297,2.347809948032665,5.79064587973274
Spatial Convection,2861.193359375,50.28260803222656,53.490123942415764,,,,0.0,0.0,0.0
