Display Name,MSE ($K^2$),MAE (K),RMSE (K),NLL,PICP$_{95}$,MPIW$_{95}$ (K),Within 1°C (%),Within 2°C (%),Within 5°C (%)
physicscnnlstm (Masked),582.8975219726562,19.12886619567871,24.143270738917217,,,,4.201466221232368,7.846139569413511,18.08416852264291
BayesianCNNLSTM,889.0357666015625,28.544137954711914,29.816701889038086,29.033472061157227,0.03,16.25140953063965,,,
pretrainedcnnlstm (Masked),1339.78271484375,32.24432373046875,36.60304242605729,,,,0.9651076466221231,2.208611729769859,5.725686711210097
best,1372.850341796875,37.051544189453125,37.05199432373047,136107706548224.0,0.0,1.8032262232736684e-05,,,
simpleresnet (Masked),1648.4337158203125,35.57941436767578,40.60090782014994,,,,0.714550853749072,1.6889383815887158,4.992576095025983
