Display Name,MSE ($K^2$),MAE (K),RMSE (K),NLL,PICP$_{95}$,MPIW$_{95}$ (K),Within 1°C (%),Within 2°C (%),Within 5°C (%)
Convection Bioheat,0.38355791568756104,0.2411644011735916,0.6193205274230469,,,,96.14348108911811,99.19152495121271,99.83272930025092
Metabolic Bioheat,0.6974647045135498,0.2118082493543625,0.8351435233021626,,,,97.61174612024904,99.55394480066909,99.86060775020908
Bioheat PINN,1.3489292860031128,0.23548074066638947,1.1614341505238739,,,,97.81618808660905,99.64687296719636,99.83272930025092
CNNLSTM,8.949012756347656,2.252943277359009,2.991490056200698,,,,30.36841128433556,55.322011878247956,90.32572383073497
Physics CNNLSTM,617.293701171875,20.27691078186035,24.845395975348733,,,,0.8723088344469191,1.6610987379361544,4.352264291017075
Pretrained CNNLSTM,658.7259521484375,21.158586502075195,25.66565705662798,,,,0.33407572383073497,1.048626577579807,4.435783221974758
