Display Name,MSE ($K^2$),MAE (K),RMSE (K),NLL,PICP$_{95}$,MPIW$_{95}$ (K),Within 1°C (%),Within 2°C (%),Within 5°C (%)
Bayesian CNNLSTM,840.8604125976562,22.128135681152344,28.99759292602539,49.33802032470703,0.23478099480326653,12.391280174255371,,,
Bayesian Spatial Convection,1105.2391357421875,31.15015983581543,33.24513626098633,65.76808166503906,0.04655701143016448,15.16031551361084,,,
Bayesian Head,1150.835205078125,28.775054931640625,33.9239616394043,200.79359436035156,0.06811432813659986,7.377900123596191,,,
Bayesian PINN,1432.2808837890625,32.118831634521484,37.84548568725586,56.762657165527344,0.14699331848552338,16.671077728271484,,,
